Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;HUAWEI-i24q;30:D1:7E:55:F6:34;;10;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:05 2023;Wed Aug 23 19:15:05 2023;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Telekom-hqKMxl;F4:6B:EF:7C:EB:14;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:15:05 2023;Wed Aug 23 19:15:06 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;DIGI-N3Gb;94:00:B0:5E:59:3C;;1;No;WPA2,WPA,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:05 2023;Wed Aug 23 19:15:06 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;IONDEL;80:D4:A5:D1:DF:88;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:06 2023;Wed Aug 23 19:15:06 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;HUAWEI-hAE9;2C:CF:58:9A:1D:D8;;7;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:15:06 2023;Wed Aug 23 19:15:06 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;DIGI-sT3D;14:18:2A:31:DA:E1;;13;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:06 2023;Wed Aug 23 19:15:06 2023;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;TSK;70:4D:7B:18:C3:20;;13;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:06 2023;Wed Aug 23 19:15:06 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;AsusRouter;40:B0:76:98:CE:EC;;13;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:06 2023;Wed Aug 23 19:15:06 2023;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Cosminacho;14:18:2A:37:ED:61;;13;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:06 2023;Wed Aug 23 19:15:06 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;HUAWEI-PP2q;4C:F9:5D:4E:73:EC;;2;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:15:06 2023;Wed Aug 23 19:15:06 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
