
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
98:DE:D0:DD:A0:FE, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,   6, TLK2.4, 
F4:6B:EF:7C:EB:14, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 130, WPA2, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,  14, Telekom-hqKMxl, 
10:27:F5:CD:B3:81, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
0C:41:E9:89:61:F0, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 130, WPA2 WPA, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,   9, DIGI-U8T5, 
34:0A:98:7E:BD:84, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 130, WPA2 WPA, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   9, DIGI-rSXD, 
30:D1:7E:DF:6C:C4, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 130, WPA2 WPA, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   9, DIGI-A123, 
94:00:B0:5E:59:3C, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 360, WPA2 WPA, CCMP, PSK, -86,        2,        1,   0.  0.  0.  0,   9, DIGI-N3Gb, 
12:27:F5:ED:B3:81, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   0, , 
80:D4:A5:D1:DF:88, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1, 130, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,   6, IONDEL, 
F8:D1:11:8F:D0:EC, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  1,  54, WPA2 WPA, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,  14, TP-LINK_8FD0EC, 
2C:CF:58:9A:1D:D8, 2023-08-23 19:15:19, 2023-08-23 19:15:19,  7, 270, WPA2 WPA, CCMP TKIP, PSK, -81,        3,        0,   0.  0.  0.  0,  11, HUAWEI-hAE9, 
40:B0:76:98:CE:EC, 2023-08-23 19:15:20, 2023-08-23 19:15:20, 13, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  10, AsusRouter, 
16:18:2A:17:ED:61, 2023-08-23 19:15:20, 2023-08-23 19:15:20, 13, 360, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  11, fiberhome-2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:07:EB:C5:45:B5, 2023-08-23 19:15:19, 2023-08-23 19:15:19, -89,        3, 10:27:F5:CD:B3:81,

